origine_x,origine_y,rotazione
100.3514083110324,87.56076026305179,parallela
99.18876947354576,86.47643358907811,parallela
97.84726312259966,85.62691453623978,parallela
101.50317760295559,81.91269330410536,perpendicolare
101.50317760295559,81.91269330410536,perpendicolare
96.25615584425003,83.43948822334846,perpendicolare
105.15196366097892,90.49902885326976,parallela
105.15196366097892,90.49902885326976,parallela
109.37572409168232,90.49902885326976,parallela
108.50543531382078,90.50262794416288,perpendicolare
97.99726312259966,90.49902885326976,parallela
105.15196366097892,90.49902885326976,parallela
109.80030829489858,90.44878036686953,perpendicolare
112.70159698893431,94.72883832488647,parallela
109.98300344948532,95.59108521228276,perpendicolare
101.23486742963368,94.72883832488647,parallela
113.67121223120496,94.72883832488647,parallela
109.37572409168232,90.49902885326976,parallela
105.15196366097892,90.49902885326976,parallela
97.99726312259966,90.49902885326976,parallela
108.50543531382078,90.50262794416288,perpendicolare
93.81358613752346,94.72883832488647,parallela
93.81358613752346,94.72883832488647,parallela
97.15666419935816,87.58588913245535,parallela
91.11558254832845,79.28076211353316,parallela
100.38216330205942,79.28076211353316,parallela
98.74160068989707,79.28076211353316,parallela
91.11558254832845,79.28076211353316,parallela
88.74233190408552,75.90913977669828,perpendicolare
97.15666419935816,87.58588913245535,parallela
105.35095264191646,93.08016689125442,perpendicolare
99.90185472774145,89.88076211353317,parallela
93.81358613752347,89.88076211353317,parallela
109.29432831489052,91.60488921628117,perpendicolare
109.29432831489052,91.60488921628117,perpendicolare
97.15666419935816,87.58588913245535,parallela
102.26211410746545,82.11706170089263,perpendicolare
108.80804332181755,87.0631397208144,perpendicolare
114.79588543149262,94.74948452238571,perpendicolare
115.52961154130793,96.83204155516196,parallela
109.80030829489858,90.44878036686953,perpendicolare
109.37572409168232,90.49902885326976,parallela
108.50543531382078,90.50262794416288,perpendicolare
97.99726312259966,90.49902885326976,parallela
105.15196366097892,90.49902885326976,parallela
109.80030829489858,90.44878036686953,perpendicolare
112.70159698893431,94.72883832488647,parallela
109.98300344948532,95.59108521228276,perpendicolare
101.23486742963368,94.72883832488647,parallela
113.67121223120496,94.72883832488647,parallela
97.84726312259966,85.62691453623978,parallela
95.21117036868168,86.01380400399839,perpendicolare
99.88401446854779,88.85191453623979,parallela
96.38345911860128,86.80467134980626,parallela
90.45973499897701,78.6611468712625,parallela
105.15196366097892,90.49902885326976,parallela
109.37572409168232,90.49902885326976,parallela
108.50543531382078,90.50262794416288,perpendicolare
97.99726312259966,90.49902885326976,parallela
105.15196366097892,90.49902885326976,parallela
109.80030829489858,90.44878036686953,perpendicolare
112.70159698893431,94.72883832488647,parallela
109.98300344948532,95.59108521228276,perpendicolare
101.23486742963368,94.72883832488647,parallela
113.67121223120496,94.72883832488647,parallela
104.32947341949743,81.23327044069936,perpendicolare
101.50317760295559,81.91269330410536,perpendicolare
92.42727764703133,82.45383832488648,parallela
104.12656780036131,86.02098368097083,perpendicolare
101.50317760295559,81.91269330410536,perpendicolare
106.74995799776704,84.85928858226796,perpendicolare
104.12656780036131,86.02098368097083,perpendicolare
101.50317760295559,81.91269330410536,perpendicolare
92.42727764703133,82.45383832488648,parallela
104.00777489925117,87.88409421321225,parallela
109.04460598986378,87.74811608368555,perpendicolare
105.57443539764661,92.8033719720113,perpendicolare
102.10426480542944,90.89508159514584,perpendicolare
112.51477658208096,91.8646968374165,perpendicolare
97.15666419935816,87.58588913245535,parallela
98.74160068989707,79.28076211353316,parallela
91.11558254832845,79.28076211353316,parallela
100.38216330205942,79.28076211353316,parallela
98.74160068989707,79.28076211353316,parallela
91.11558254832845,79.28076211353316,parallela
88.74233190408552,75.90913977669828,perpendicolare
97.15666419935816,87.58588913245535,parallela
105.35095264191646,93.08016689125442,perpendicolare
99.90185472774145,89.88076211353317,parallela
93.81358613752347,89.88076211353317,parallela
109.29432831489052,91.60488921628117,perpendicolare
109.29432831489052,91.60488921628117,perpendicolare
91.57345712841021,76.71957536993844,perpendicolare
87.39988181435564,70.3092123988566,perpendicolare
81.12786930805699,69.83653347947322,parallela
85.30144462211155,69.83653347947322,parallela
94.40610884941165,79.54871130596429,parallela
99.08967690125039,79.54871130596429,parallela
99.52915587219196,82.63604719043194,perpendicolare
99.90185472774145,86.84871130596429,parallela
108.65614872174388,86.84871130596429,parallela
103.70545346936035,86.69265336191829,perpendicolare
99.18876947354576,86.47643358907811,parallela
99.53187815530579,87.56284210967505,perpendicolare
92.85969868789786,78.20948082142296,parallela
94.27557528611263,68.90711061606721,parallela
101.00071483927542,76.53908167897163,perpendicolare
91.82875858022203,84.64582562299425,parallela
93.20237020535575,78.43124306069483,parallela
96.19015784841207,84.64582562299425,parallela
96.19015784841207,84.64582562299425,parallela
89.63801085141085,75.34441731196185,parallela
92.12916512459884,73.24441731196185,parallela
96.88143173859675,77.3890072761868,perpendicolare
100.36662596794281,88.3645480318468,perpendicolare
106.75489455816077,88.6877531126037,perpendicolare
89.63801085141085,75.34441731196185,parallela
92.12916512459884,73.24441731196185,parallela
96.88143173859675,77.3890072761868,perpendicolare
100.36662596794281,88.3645480318468,perpendicolare
106.75489455816077,88.6877531126037,perpendicolare
90.41121593216772,76.01403255423253,parallela
92.96388018740976,73.86403255423252,parallela
97.83405968275963,78.10240473580836,perpendicolare
91.05322316644163,88.20803797993796,parallela
97.92243186433548,88.20803797993796,parallela
92.96388018740976,73.86403255423252,parallela
90.41121593216772,76.01403255423253,parallela
92.96388018740976,73.86403255423252,parallela
97.83405968275963,78.10240473580836,perpendicolare
91.05322316644163,88.20803797993796,parallela
