centro_x, centro_y, rotazione
106.00192378864669,80.7313387214182,perpendicolare
105.10437373866688,82.61880215351701,parallela
102.95854811567263,82.98097469291844,perpendicolare
98.28423233502272,73.38486478608884,perpendicolare
98.28423233502272,73.38486478608884,perpendicolare
100.02442471388737,74.44781318545651,perpendicolare
102.02871870788981,76.23479623197659,perpendicolare
0,0,error
99.4019237886467,74.59512146747805,perpendicolare
104.58114337986427,72.54552801185488,perpendicolare
104.58114337986427,72.54552801185488,perpendicolare
106.00192378864669,80.7313387214182,perpendicolare
98.65907157871135,81.58498701923538,perpendicolare
93.31143379864265,76.57370998419186,perpendicolare
102.63578439601564,83.42689890781968,perpendicolare
96.77512886940357,72.95544670297951,perpendicolare
105.3246798091497,85.27467187851522,perpendicolare
105.3246798091497,85.27467187851522,perpendicolare
106.64083939682233,81.15816287032679,perpendicolare
99.70391135110893,70.19601958798582,perpendicolare
98.28423233502272,73.38486478608884,perpendicolare
102.63471328218439,76.04223578450802,perpendicolare
98.08852632902511,73.77528408522879,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
102.02871870788981,76.23479623197659,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
104.58114337986427,72.54552801185488,perpendicolare
100.05862251845747,75.0050401586027,perpendicolare
99.45381304684076,75.86007248244863,perpendicolare
106.00192378864669,80.7313387214182,perpendicolare
105.10647552145625,72.32191638672117,perpendicolare
99.15432852445504,73.91633898577268,perpendicolare
96.77512886940357,72.95544670297951,perpendicolare
98.08852632902511,73.77528408522879,perpendicolare
0,0,error
99.4019237886467,74.59512146747805,perpendicolare
106.64083939682233,81.15816287032679,perpendicolare
102.63471328218439,76.04223578450802,perpendicolare
93.31143379864265,76.57370998419186,perpendicolare
96.77512886940357,72.95544670297951,perpendicolare
98.08852632902511,73.77528408522879,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
101.37201997807901,75.82487754085196,perpendicolare
101.37201997807901,75.82487754085196,perpendicolare
102.5269809536002,80.75487060188746,parallela
106.00192378864669,80.7313387214182,perpendicolare
106.64083939682233,81.15816287032679,perpendicolare
106.64083939682233,81.15816287032679,perpendicolare
97.06609766981742,72.64080090653147,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
98.7452250588359,74.18520277635344,perpendicolare
101.37201997807901,75.82487754085196,perpendicolare
105.3246798091497,85.27467187851522,perpendicolare
105.3246798091497,85.27467187851522,perpendicolare
103.81567734613354,81.68683637770224,parallela
100.89452090331972,74.97928738514035,perpendicolare
97.06609766981742,72.64080090653147,perpendicolare
98.7452250588359,74.18520277635344,perpendicolare
103.81567734613354,81.68683637770224,parallela
105.10437373866688,82.61880215351701,parallela
106.64083939682233,81.15816287032679,perpendicolare
99.70391135110893,70.19601958798582,perpendicolare
99.70391135110893,70.19601958798582,perpendicolare
98.08852632902511,73.77528408522879,perpendicolare
102.5269809536002,80.75487060188746,parallela
102.5269809536002,80.75487060188746,parallela
99.70391135110893,70.19601958798582,perpendicolare
98.28423233502272,73.38486478608884,perpendicolare
93.31143379864265,76.57370998419186,perpendicolare
104.21244197555374,80.15803263805833,parallela
105.11473670974873,80.77350269189625,parallela
99.4019237886467,74.59512146747805,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
98.7452250588359,74.18520277635344,perpendicolare
92.68402906283428,76.64471492310122,perpendicolare
96.79400542570542,74.11669680947456,perpendicolare
105.3246798091497,85.27467187851522,perpendicolare
106.64083939682233,81.15816287032679,perpendicolare
100.89452090331972,74.97928738514035,perpendicolare
96.00155989437948,82.74300686417762,parallela
96.00155989437948,82.74300686417762,parallela
99.70391135110893,70.19601958798582,perpendicolare
102.63578439601564,83.42689890781968,perpendicolare
96.00155989437948,82.74300686417762,parallela
97.43182759921436,73.36536539410415,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
99.4019237886467,74.59512146747805,perpendicolare
0,0,error
99.4019237886467,74.59512146747805,perpendicolare
101.37201997807901,75.82487754085196,perpendicolare
102.02871870788981,76.23479623197659,perpendicolare
102.5269809536002,80.75487060188746,parallela
99.4019237886467,74.59512146747805,perpendicolare
98.7452250588359,74.18520277635344,perpendicolare
101.37201997807901,75.82487754085196,perpendicolare
99.45381304684076,75.86007248244863,perpendicolare
106.30192378864669,80.7313387214182,perpendicolare
106.37692378864669,80.7313387214182,perpendicolare
105.10437373866688,82.918802153517,parallela
106.37692378864669,80.7313387214182,perpendicolare
105.10437373866688,82.918802153517,parallela
103.33354811567261,82.98097469291844,perpendicolare
106.37692378864669,81.1813387214182,perpendicolare
106.37692378864669,81.33133872141819,perpendicolare
106.37692378864669,81.1813387214182,perpendicolare
106.37692378864669,81.1813387214182,perpendicolare
