x,y,rotazione
14.560599999999999,16.45,yes
43.8818,16.45,yes
73.203,16.45,yes
102.52420000000001,16.45,yes
14.560599999999999,49.55,yes
43.8818,49.55,yes
73.203,49.55,yes
102.52420000000001,49.55,yes
14.560599999999999,82.65,yes
43.8818,82.65,yes
73.203,82.65,yes
102.52420000000001,82.65,yes
