x,y,rotazione
15.348036339021078,10.000971146730237,no
15.348036339021078,28.889428414850133,no
15.348036339021078,47.77788568297003,no
15.348036339021078,66.66634295108993,no
15.348036339021078,85.55480021920982,no
38.94722325026743,19.445199780790183,no
38.94722325026743,38.333657048910084,no
38.94722325026743,57.22211431702998,no
38.94722325026743,76.11057158514987,no
38.94722325026743,94.99902885326976,no
62.5,10.000971146730237,no
62.5,28.889428414850133,no
62.5,47.77788568297003,no
62.5,66.66634295108993,no
62.5,85.55480021920982,no
86.09918691124635,19.445199780790183,no
86.09918691124635,38.333657048910084,no
86.09918691124635,57.22211431702998,no
86.09918691124635,76.11057158514987,no
86.09918691124635,94.99902885326976,no
109.65196366097892,10.000971146730237,no
109.65196366097892,28.889428414850133,no
109.65196366097892,47.77788568297003,no
109.65196366097892,66.66634295108993,no
109.65196366097892,85.55480021920982,no
