x,y
1139,863
1011,863
883,863
755,863
627,863
499,863
371,863
243,863
115,863
1085,718
957,718
829,718
701,718
573,718
445,718
317,718
189,718
61,718
1139,573
1011,573
883,573
755,573
627,573
499,573
371,573
243,573
115,573
1085,427
957,427
829,427
701,427
573,427
445,427
317,427
189,427
61,427
1139,282
1011,282
883,282
755,282
627,282
499,282
371,282
243,282
115,282
1085,137
957,137
829,137
701,137
573,137
445,137
317,137
189,137
61,137
