x,y
1127,831
977,831
826,831
675,831
525,831
374,831
223,831
73,831
1127,610
977,610
826,610
675,610
525,610
374,610
223,610
73,610
1127,390
977,390
826,390
675,390
525,390
374,390
223,390
73,390
1127,169
977,169
826,169
675,169
525,169
374,169
223,169
73,169
